
Last week somebody asked for a list of opcodes.
Well, here is mine. Have fun!

| Herbert Oppmann | email: htoppman@cip.informatik.uni-erlangen.de |
| irc: mtx        |  mail: Drausnickstrasse 29, D-8520 Erlangen    |

------------ 8< ---------- 8< ---------------
8080/Z80/HD64180 opcodes

Legend:
HX, LX	highbyte/lowbyte of IX
HY, LY	dito IY

	8080 subset
*	Z80 only
/	"illegal" Z80
+	HD 64180 (reacts with a trap to illegal Z80 opcodes)

Hex		Instruction		Comment (applies to Z80 only)
-----------------------------------------------
00		NOP
DD 6A	      /	LD	LX,D
DD 6B	      /	LD	LX,E
DD 6C	      /	LD	LX,HX
DD 6D	      /	LD	LX,LX
DD 6E dd      *	LD	L,(IX+dd)
DD 6F	      /	LD	LX,A
DD 70 dd      *	LD	(IX+dd),B
DD 71 dd      *	LD	(IX+dd),C
DD 72 dd      *	LD	(IX+dd),D
DD 73 dd      *	LD	(IX+dd),E
DD 74 dd      *	LD	(IX+dd),H
DD 75 dd      *	LD	(IX+dd),L
DD 77 dd      *	LD	(IX+dd),A
DD 7C	      /	LD	A,HX
DD 7D	      /	LD	A,LX
DD 7E dd      *	LD	A,(IX+dd)
DD 84	      /	ADD	A,HX
DD 85	      /	ADD	A,LX
DD 86 dd      *	ADD	A,(IX+dd)  /* add +dd, kpb */
DD 8C	      /	ADC	A,HX
DD 8D	      /	ADC	A,LX
DD 8E dd      *	ADC	A,(IX+dd)  /* add +dd, kpb */
DD 94	      /	SUB	HX
DD 95	      /	SUB	LX
DD 96 dd      *	SUB	(IX+dd)
DD 9C	      /	SBC	A,HX
DD 9D	      /	SBC	A,LX
DD 9E dd      *	SBC	A,(IX+dd)
DD A4	      /	AND	HX
DD A5	      /	AND	LX
DD A6 dd      *	AND	(IX+dd)
DD AC	      /	XOR	HX
DD AD	      /	XOR	LX
DD AE dd      *	XOR	(IX+dd)
DD B4	      /	OR	HX
DD B5	      /	OR	LX
DD B6 dd      *	OR	(IX+dd)
DD BC	      /	CP	HX
DD BD	      /	CP	LX
DD BE dd      *	CP	(IX+dd)
DD CB dd 00   /	RLC	(IX+dd)->B	result is placed in a register
DD CB dd 01   /	RLC	(IX+dd)->C	additionally
DD CB dd 02   /	RLC	(IX+dd)->D
DD CB dd 03   /	RLC	(IX+dd)->E
DD CB dd 04   /	RLC	(IX+dd)->H
DD CB dd 05   /	RLC	(IX+dd)->L
DD CB dd 06   *	RLC	(IX+dd)
DD CB dd 07   /	RLC	(IX+dd)->A
DD CB dd 08   /	RRC	(IX+dd)->B
DD CB dd 09   /	RRC	(IX+dd)->C
DD CB dd 0A   /	RRC	(IX+dd)->D
DD CB dd 0B   /	RRC	(IX+dd)->E
DD CB dd 0C   /	RRC	(IX+dd)->H
DD CB dd 0D   /	RRC	(IX+dd)->L
DD CB dd 0E   *	RRC	(IX+dd)
DD CB dd 0F   /	RRC	(IX+dd)->A
DD CB dd 10   /	RL	(IX+dd)->B
DD CB dd 11   /	RL	(IX+dd)->C
DD CB dd 12   /	RL	(IX+dd)->D
DD CB dd 13   /	RL	(IX+dd)->E
DD CB dd 14   /	RL	(IX+dd)->H
DD CB dd 15   /	RL	(IX+dd)->L
DD CB dd 16   *	RL	(IX+dd)
DD CB dd 17   /	RL	(IX+dd)->A
DD CB dd 18   /	RR	(IX+dd)->B
DD CB dd 19   /	RR	(IX+dd)->C
DD CB dd 1A   /	RR	(IX+dd)->D
DD CB dd 1B   /	RR	(IX+dd)->E
DD CB dd 1C   /	RR	(IX+dd)->H
DD CB dd 1D   /	RR	(IX+dd)->L
DD CB dd 1E   *	RR	(IX+dd)
DD CB dd 1F   /	RR	(IX+dd)->A
DD CB dd 20   /	SLA	(IX+dd)->B
DD CB dd 21   /	SLA	(IX+dd)->C
DD CB dd 22   /	SLA	(IX+dd)->D
DD CB dd 23   /	SLA	(IX+dd)->E
DD CB dd 24   /	SLA	(IX+dd)->H
DD CB dd 25   /	SLA	(IX+dd)->L
DD CB dd 26   *	SLA	(IX+dd)
DD CB dd 27   /	SLA	(IX+dd)->A
DD CB dd 28   /	SRA	(IX+dd)->B
DD CB dd 29   /	SRA	(IX+dd)->C
DD CB dd 2A   /	SRA	(IX+dd)->D
DD CB dd 2B   /	SRA	(IX+dd)->E
DD CB dd 2C   /	SRA	(IX+dd)->H
DD CB dd 2D   /	SRA	(IX+dd)->L
DD CB dd 2E   *	SRA	(IX+dd)
DD CB dd 2F   /	SRA	(IX+dd)->A
DD CB dd 30   /	SLIA	(IX+dd)->B
DD CB dd 31   /	SLIA	(IX+dd)->C
DD CB dd 32   /	SLIA	(IX+dd)->D
DD CB dd 33   /	SLIA	(IX+dd)->E
DD CB dd 34   /	SLIA	(IX+dd)->H
DD CB dd 35   /	SLIA	(IX+dd)->L
DD CB dd 36   /	SLIA	(IX+dd)
DD CB dd 37   /	SLIA	(IX+dd)->A
DD CB dd 38   /	SRL	(IX+dd)->B
DD CB dd 39   /	SRL	(IX+dd)->C
DD CB dd 3A   /	SRL	(IX+dd)->D
DD CB dd 3B   /	SRL	(IX+dd)->E
DD CB dd 3C   /	SRL	(IX+dd)->H
DD CB dd 3D   /	SRL	(IX+dd)->L
DD CB dd 3E   *	SRL	(IX+dd)
DD CB dd 3F   /	SRL	(IX+dd)->A
DD CB dd 46   *	BIT	0,(IX+dd)	all other BIT combinations
DD CB dd 4E   *	BIT	1,(IX+dd)	react like the documented ones
DD CB dd 56   *	BIT	2,(IX+dd)	because there is no write
DD CB dd 5E   *	BIT	3,(IX+dd)
DD CB dd 66   *	BIT	4,(IX+dd)
DD CB dd 6E   *	BIT	5,(IX+dd)
DD CB dd 76   *	BIT	6,(IX+dd)
DD CB dd 7E   *	BIT	7,(IX+dd)
DD CB dd 80   /	RES	0,(IX+dd)->B
DD CB dd 81   /	RES	0,(IX+dd)->C
DD CB dd 82   /	RES	0,(IX+dd)->D
DD CB dd 83   /	RES	0,(IX+dd)->E
DD CB dd 84   /	RES	0,(IX+dd)->H
DD CB dd 85   /	RES	0,(IX+dd)->L
DD CB dd 86   *	RES	0,(IX+dd)
DD CB dd 87   /	RES	0,(IX+dd)->A
DD CB dd 88   /	RES	1,(IX+dd)->B
DD CB dd 89   /	RES	1,(IX+dd)->C
DD CB dd 8A   /	RES	1,(IX+dd)->D
DD CB dd 8B   /	RES	1,(IX+dd)->E
DD CB dd 8C   /	RES	1,(IX+dd)->H
DD CB dd 8D   /	RES	1,(IX+dd)->L
DD CB dd 8E   *	RES	1,(IX+dd)
DD CB dd 8F   /	RES	1,(IX+dd)->A
DD CB dd 90   /	RES	2,(IX+dd)->B
DD CB dd 91   /	RES	2,(IX+dd)->C
DD CB dd 92   /	RES	2,(IX+dd)->D
DD CB dd 93   /	RES	2,(IX+dd)->E
DD CB dd 94   /	RES	2,(IX+dd)->H
DD CB dd 95   /	RES	2,(IX+dd)->L
DD CB dd 96   *	RES	2,(IX+dd)
DD CB dd 97   /	RES	2,(IX+dd)->A
DD CB dd 98   /	RES	3,(IX+dd)->B
DD CB dd 99   /	RES	3,(IX+dd)->C
DD CB dd 9A   /	RES	3,(IX+dd)->D
DD CB dd 9B   /	RES	3,(IX+dd)->E
DD CB dd 9C   /	RES	3,(IX+dd)->H
DD CB dd 9D   /	RES	3,(IX+dd)->L
DD CB dd 9E   *	RES	3,(IX+dd)
DD CB dd 9F   /	RES	3,(IX+dd)->A
DD CB dd A0   /	RES	4,(IX+dd)->B
DD CB dd A1   /	RES	4,(IX+dd)->C
DD CB dd A2   /	RES	4,(IX+dd)->D
DD CB dd A3   /	RES	4,(IX+dd)->E
DD CB dd A4   /	RES	4,(IX+dd)->H
DD CB dd A5   /	RES	4,(IX+dd)->L
DD CB dd A6   *	RES	4,(IX+dd)
DD CB dd A7   /	RES	4,(IX+dd)->A
DD CB dd A8   /	RES	5,(IX+dd)->B
DD CB dd A9   /	RES	5,(IX+dd)->C
DD CB dd AA   /	RES	5,(IX+dd)->D
DD CB dd AB   /	RES	5,(IX+dd)->E
DD CB dd AC   /	RES	5,(IX+dd)->H
DD CB dd AD   /	RES	5,(IX+dd)->L
DD CB dd AE   *	RES	5,(IX+dd)
DD CB dd AF   /	RES	5,(IX+dd)->A
DD CB dd B0   /	RES	6,(IX+dd)->B
DD CB dd B1   /	RES	6,(IX+dd)->C
DD CB dd B2   /	RES	6,(IX+dd)->D
DD CB dd B3   /	RES	6,(IX+dd)->E
DD CB dd B4   /	RES	6,(IX+dd)->H
DD CB dd B5   /	RES	6,(IX+dd)->L
DD CB dd B6   *	RES	6,(IX+dd)
DD CB dd B7   /	RES	6,(IX+dd)->A
DD CB dd B8   /	RES	7,(IX+dd)->B
DD CB dd B9   /	RES	7,(IX+dd)->C
DD CB dd BA   /	RES	7,(IX+dd)->D
DD CB dd BB   /	RES	7,(IX+dd)->E
DD CB dd BC   /	RES	7,(IX+dd)->H
DD CB dd BD   /	RES	7,(IX+dd)->L
DD CB dd BE   *	RES	7,(IX+dd)
DD CB dd BF   /	RES	7,(IX+dd)->A
DD CB dd C0   /	SET	0,(IX+dd)->B
DD CB dd C1   /	SET	0,(IX+dd)->C
DD CB dd C2   /	SET	0,(IX+dd)->D
DD CB dd C3   /	SET	0,(IX+dd)->E
DD CB dd C4   /	SET	0,(IX+dd)->H
DD CB dd C5   /	SET	0,(IX+dd)->L
DD CB dd C6   *	SET	0,(IX+dd)
DD CB dd C7   /	SET	0,(IX+dd)->A
DD CB dd C8   /	SET	1,(IX+dd)->B
DD CB dd C9   /	SET	1,(IX+dd)->C
DD CB dd CA   /	SET	1,(IX+dd)->D
DD CB dd CB   /	SET	1,(IX+dd)->E
DD CB dd CC   /	SET	1,(IX+dd)->H
DD CB dd CD   /	SET	1,(IX+dd)->L
DD CB dd CE   *	SET	1,(IX+dd)
DD CB dd CF   /	SET	1,(IX+dd)->A
DD CB dd D0   /	SET	2,(IX+dd)->B
DD CB dd D1   /	SET	2,(IX+dd)->C
DD CB dd D2   /	SET	2,(IX+dd)->D
DD CB dd D3   /	SET	2,(IX+dd)->E
DD CB dd D4   /	SET	2,(IX+dd)->H
DD CB dd D5   /	SET	2,(IX+dd)->L
DD CB dd D6   *	SET	2,(IX+dd)
DD CB dd D7   /	SET	2,(IX+dd)->A
DD CB dd D8   /	SET	3,(IX+dd)->B
DD CB dd D9   /	SET	3,(IX+dd)->C
DD CB dd DA   /	SET	3,(IX+dd)->D
DD CB dd DB   /	SET	3,(IX+dd)->E
DD CB dd DC   /	SET	3,(IX+dd)->H
DD CB dd DD   /	SET	3,(IX+dd)->L
DD CB dd DE   *	SET	3,(IX+dd)
DD CB dd DF   /	SET	3,(IX+dd)->A
DD CB dd E0   /	SET	4,(IX+dd)->B
DD CB dd E1   /	SET	4,(IX+dd)->C
DD CB dd E2   /	SET	4,(IX+dd)->D
DD CB dd E3   /	SET	4,(IX+dd)->E
DD CB dd E4   /	SET	4,(IX+dd)->H
DD CB dd E5   /	SET	4,(IX+dd)->L
DD CB dd E6   *	SET	4,(IX+dd)
DD CB dd E7   /	SET	4,(IX+dd)->A
DD CB dd E8   /	SET	5,(IX+dd)->B
DD CB dd E9   /	SET	5,(IX+dd)->C
DD CB dd EA   /	SET	5,(IX+dd)->D
DD CB dd EB   /	SET	5,(IX+dd)->E
DD CB dd EC   /	SET	5,(IX+dd)->H
DD CB dd ED   /	SET	5,(IX+dd)->L
DD CB dd EE   *	SET	5,(IX+dd)
DD CB dd EF   /	SET	5,(IX+dd)->A
DD CB dd F0   /	SET	6,(IX+dd)->B
DD CB dd F1   /	SET	6,(IX+dd)->C
DD CB dd F2   /	SET	6,(IX+dd)->D
DD CB dd F3   /	SET	6,(IX+dd)->E
DD CB dd F4   /	SET	6,(IX+dd)->H
DD CB dd F5   /	SET	6,(IX+dd)->L
DD CB dd F6   *	SET	6,(IX+dd)
DD CB dd F7   /	SET	6,(IX+dd)->A
DD CB dd F8   /	SET	7,(IX+dd)->B
DD CB dd F9   /	SET	7,(IX+dd)->C
DD CB dd FA   /	SET	7,(IX+dd)->D
DD CB dd FB   /	SET	7,(IX+dd)->E
DD CB dd FC   /	SET	7,(IX+dd)->H
DD CB dd FD   /	SET	7,(IX+dd)->L
DD CB dd FE   *	SET	7,(IX+dd)
DD CB dd FF   /	SET	7,(IX+dd)->A
DD E1	      *	POP	IX
DD E3	      *	EX	(SP),IX
DD E5	      *	PUSH	IX
DD E9	      *	JP	(IX)
DD F9	      *	LD	SP,IX
DE nn		SBC	A,nn
DF		RST	18H
E0		RET	PO
E1		POP	HL
E2 nnnn		JP	PO,nnnn
E3		EX	(SP),HL
E4 nnnn		CALL	PO,nnnn
E5		PUSH	HL
E6 nn		AND	nn
E7		RST	20H
E8		RET	PE
E9		JP	(HL)
EA nnnn		JP	PE,nnnn
EB		EX	DE,HL
EC nnnn		CALL	PE,nnnn
All other ED combinations not listed below:
 in the range ED40 - ED7F: valid opcodes are mirrored
 elsewhere: ED and the next byte is ignored,
  all following bytes treated as instructions
ED 00 nn      +	IN0	B,(nn)
ED 01 nn      +	OUT0	(nn),B
ED 04	      +	TST	B
